"Date","Description","Comments","Check Number","Amount","Balance"
"07/20/2023","Visa Check  JERSEY MIKES 22006 PARKER CO 07/18/23 Card 3805","","","($15.43)","$528.58"
"07/20/2023","Visa Check  CHIPOTLE 0059 PARKER CO 07/19/23 Card 3805","","","($16.69)","$511.89"
"07/20/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/20/23 Card 3805","","","($19.87)","$492.02"
"07/20/2023","ZEL*JERAMIAH JAKUBOWSKI Visa Direct AZ 07/21/23 Card 3805","","","$20.00","$512.02"
"07/21/2023","Visa Check  CIRCLE K # 41166 AURORA CO 07/20/23 Card 3805","","","($18.54)","$493.48"
"07/21/2023","Visa Check  MCDONALD'S F7462 PARKER CO 07/20/23 Card 3805","","","($16.39)","$477.09"
"07/21/2023","Visa Check  AMZN Mktp US*XW95N5ML3 Amzn.com/bill WA 07/21/23 Card 3805","","","($21.59)","$455.50"
"07/23/2023","Visa Check  CONOCO - 7-ELEVEN 34035 PARKER CO 07/23/23 Card 3805","","","($6.72)","$448.78"
"07/24/2023","Visa Check  GOOGLE *ROBLOX g.co/helppay# CA 07/23/23 Card 3805","","","($19.99)","$428.79"
"07/24/2023","Visa Check  JETS PIZZA - CO-004 PARKER CO 07/23/23 Card 3805","","","($87.40)","$341.39"
"07/24/2023","Visa Check  TOWN OF PARKER PARKER CO 07/23/23 Card 3805","","","($30.00)","$311.39"
"07/24/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/24/23 Card 3805","","","($2.68)","$308.71"
"07/25/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/25/23 Card 3805","","","($32.84)","$275.87"
"07/25/2023","Visa Check  DD DOORDASH QDOBAMEXI 855-973-1040 CA 07/25/23 Card 3805","","","($17.82)","$258.05"
"07/26/2023","Visa Check  DD DOORDASH TASTEOFPH 855-973-1040 CA 07/26/23 Card 3805","","","($21.63)","$236.42"
"07/26/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/26/23 Card 3805","","","($12.81)","$223.61"
"07/27/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/27/23 Card 3805","","","($6.99)","$216.62"
"07/27/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/27/23 Card 3805","","","($4.40)","$212.22"
"07/27/2023","Visa Check  DD DOORDASH CHILISGRI 855-973-1040 CA 07/27/23 Card 3805","","","($19.48)","$192.74"
"07/27/2023","Visa Check  CONOCO - SEI 42055 AURORA CO 07/27/23 Card 3805","","","($15.27)","$177.47"
"07/27/2023","Visa Check  CONOCO - SEI 32923 PARKER CO 07/27/23 Card 3805","","","($10.05)","$167.42"
"07/28/2023","Visa Check  BURGER KING #10685 PARKER CO 07/27/23 Card 3805","","","($14.97)","$152.45"
"07/28/2023","Visa Check  GOOGLE *Scopely Inc g.co/helppay# CA 07/28/23 Card 3805","","","($34.99)","$117.46"
"07/28/2023","DISHA CORP  : DIRECT DEP   : 9111111101","","","$986.93","$1,104.39"
"07/29/2023","Visa Check  BEVYS LIQUOR WORLD PARKER CO 07/28/23 Card 3805","","","($6.40)","$1,097.99"
"07/29/2023","Visa Check  DUNKIN #355102 PARKER CO 07/28/23 Card 3805","","","($22.90)","$1,075.09"
"07/29/2023","Visa Check  MURPHY EXPRESS 8898 PARKER CO 07/28/23 Card 3805","","","($77.28)","$997.81"
"07/30/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/30/23 Card 3805","","","($4.63)","$993.18"
"07/30/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 07/30/23 Card 3805","","","($34.24)","$958.94"
"07/30/2023","Visa Check  DD DOORDASH LILRICCIS 855-973-1040 CA 07/30/23 Card 3805","","","($18.11)","$940.83"
"07/31/2023","Visa Check  MEM.AI MEM.AI CA 07/31/23 Card 3805","","","($10.00)","$930.83"
"07/31/2023","Visa Check  ZEL*Pamela Spengler Visa Direct AZ 07/31/23 Card 3805","","","($20.00)","$910.83"
"07/31/2023","Deposit Dividend Tiered Rate APY Earned  0.05% 07/01/23 to 07/31/23","","","$0.02","$910.85"
"08/01/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($6.98)","$903.87"
"08/01/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($2.68)","$901.19"
"08/01/2023","Visa Check  JERSEY MIKES 22006 PARKER CO 07/30/23 Card 3805","","","($14.03)","$887.16"
"08/01/2023","PAYMENT FOR AMZ  : STORECARD   : 9069872103 NAME: 6045781174794916","","","($245.13)","$642.03"
"08/02/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($9.99)","$632.04"
"08/02/2023","T SQUARE 17050 E MAIN STREE US PARKER CO 5541 Card 3805","","","($7.55)","$624.49"
"08/02/2023","Visa Check  STARBUCKS STORE 21242 AURORA CO 08/01/23 Card 3805","","","($12.96)","$611.53"
"08/02/2023","Visa Check  PHILLIPS 66 - T SQUARE PARKER CO 08/02/23 Card 3805","","","($15.78)","$595.75"
"08/02/2023","Visa Check  DD DOORDASH FUZZYSTAC 855-973-1040 CA 08/02/23 Card 3805","","","($24.43)","$571.32"
"08/03/2023","Visa Check  MCDONALD'S #F21389 PARKER CO 08/02/23 Card 3805","","","($12.15)","$559.17"
"08/04/2023","Visa Check  CONOCO - SEI 42055 AURORA CO 08/03/23 Card 3805","","","($2.50)","$556.67"
"08/04/2023","Visa Check  O'REILLY AUTO PARTS 285 PARKER CO 08/03/23 Card 3805","","","($49.67)","$507.00"
"08/04/2023","Visa Check  TARGET 00022194 PARKER CO 08/03/23 Card 3805","","","($45.88)","$461.12"
"08/04/2023","Visa Check  CIRCLE K # 44137 PARKER CO 08/03/23 Card 3805","","","($8.06)","$453.06"
"08/04/2023","Visa Check  7-ELEVEN 41543 PARKER CO 08/03/23 Card 3805","","","($4.59)","$448.47"
"08/04/2023","Visa Check  TACO BELL 002643 PARKER CO 08/03/23 Card 3805","","","($8.16)","$440.31"
"08/05/2023","Visa Check  API VENDMASSAGECHAIR AURORA CO 08/04/23 Card 3805","","","($10.00)","$430.31"
"08/05/2023","Visa Check  DD DOORDASH BLACKROCK 855-973-1040 CA 08/05/23 Card 3805","","","($19.89)","$410.42"
"08/05/2023","Visa Check  CHICK-FIL-A #1111 PARKER CO 08/04/23 Card 3805","","","($14.52)","$395.90"
"08/05/2023","Visa Check  PYTHONANYWHERE RICHMOND GB 08/05/23 Card 3805","","","($7.00)","$388.90"
"08/05/2023","Withdrawal Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT Date 08/05/23 Card 3805","","","($0.06)","$388.84"
